chatbot-arena,arena-hard
gpt-4o-mini-2024-07-18,gpt-4o-mini
athene-70b-0725,athene-70b
llama-2-7b-chat,Llama-2-7b-chat-hf
claude-2.0,claude-2.0
claude-2.1,claude-2.1
claude-3-5-sonnet-20240620,claude-3-5-sonnet-20240620
claude-3-haiku-20240307,claude-3-haiku-20240307
claude-3-opus-20240229,claude-3-opus-20240229
claude-3-sonnet-20240229,claude-3-sonnet-20240229
command-r,command-r
command-r-plus,command-r-plus
dbrx-instruct-preview,dbrx-instruct-preview
deepseek-coder-v2,deepseek-coder-v2
gemini-1.5-flash-api-0514,gemini-1.5-flash-api-0514
gemini-1.5-pro-api-0409-preview,gemini-1.5-pro-api-0409-preview
gemini-1.5-pro-api-0514,gemini-1.5-pro-api-0514
gemini-pro,gemini-pro
gemma-1.1-2b-it,gemma-1.1-2b-it
gemma-1.1-7b-it,gemma-1.1-7b-it
gemma-2-27b-it,gemma-2-27b-it
gemma-2b-it,gemma-2b-it
gemma-7b-it,gemma-7b-it
glm-4-0116,glm-4-0116
glm-4-0520,glm-4-0520
gpt-3.5-turbo-0125,gpt-3.5-turbo-0125
gpt-3.5-turbo-0314,gpt-3.5-turbo-0314
gpt-3.5-turbo-0613,gpt-3.5-turbo-0613
gpt-3.5-turbo-1106,gpt-3.5-turbo-1106
gpt-4-0125-preview,gpt-4-0125-preview
gpt-4-0314,gpt-4-0314
gpt-4-0613,gpt-4-0613
gpt-4-1106-preview,gpt-4-1106-preview
gpt-4-turbo-2024-04-09,gpt-4-turbo-2024-04-09
gpt-4o-2024-05-13,gpt-4o-2024-05-13
llama-2-70b-chat,llama-2-70b-chat
llama-3-70b-instruct,llama-3-70b-instruct
llama-3-8b-instruct,llama-3-8b-instruct
llama-3.1-405b-instruct,llama-3.1-405b-instruct
llama-3.1-70b-instruct,llama-3.1-70b-instruct
llama-3.1-8b-instruct,llama-3.1-8b-instruct
mistral-7b-instruct,mistral-7b-instruct
mistral-large-2402,mistral-large-2402
mistral-large-2407,mistral-large-2407
mistral-medium,mistral-medium
mistral-next,mistral-next
mixtral-8x22b-instruct-v0.1,mixtral-8x22b-instruct-v0.1
mixtral-8x7b-instruct-v0.1,mixtral-8x7b-instruct-v0.1
nemotron-4-340b-instruct,nemotron-4-340b-instruct
phi-3-medium-4k-instruct,phi-3-medium-4k-instruct
phi-3-mini-128k-instruct,phi-3-mini-128k-instruct
phi-3-small-8k-instruct,phi-3-small-8k-instruct
qwen1.5-72b-chat,qwen1.5-72b-chat
qwen2-72b-instruct,qwen2-72b-instruct
snowflake-arctic-instruct,snowflake-arctic-instruct
starling-lm-7b-alpha,starling-lm-7b-alpha
starling-lm-7b-beta,starling-lm-7b-beta
tulu-2-dpo-70b,tulu-2-dpo-70b
vicuna-33b,vicuna-33b
yi-1.5-34b-chat,yi-1.5-34b-chat
yi-34b-chat,yi-34b-chat
yi-large,yi-large
yi-large-preview,yi-large-preview
